escenario,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std,r_mean,r_std,MAE_ic95,RMSE_ic95,MAPE_ic95,r_ic95
D: LightGBM + Optuna,7.8443473492473,0.3121190695084145,9.901712995788506,0.41117704104989533,9.752383400173489,0.4122511114632446,0.7112404349585019,0.023611067647847032,0.1064925937582327,0.14029040155798042,0.14065686601135935,0.008055912249067303
D: RF + Optuna,7.846923987830295,0.3066025293357946,9.902530646617318,0.4064346791736494,9.75473172030214,0.40583917763598554,0.71112819833839,0.023285184722312655,0.10461039324905191,0.1386723446493237,0.13846916416620644,0.007944723534913002
D: XGBoost + Optuna,7.849148822965795,0.31337666984258034,9.908056605258707,0.40984196707847736,9.759932623743635,0.41261683988650205,0.7107638138900355,0.023529116465901556,0.10692167719010204,0.13983488472493552,0.1407816496987679,0.008027951144541804
B: Solo sedentarias,7.854491453484893,0.31343437936462276,9.906133384709689,0.41084810638642916,9.766814260387727,0.41407812096873675,0.7108360302832774,0.023547825809590913,0.10694136722921609,0.14017817161463003,0.14128022741432408,0.008034334626781865
E: LSTM,7.8950220918106755,0.35356831740336203,10.110348087631486,0.4685859768889301,9.934698413868363,0.4435347359202089,0.7080591350611256,0.02589474611917797,0.1206347540710037,0.15987788300225003,0.15133059484128208,0.008835085543749028
