participante,seg_id,bpm_watch,pred_final
2,100,51.95872248034456,63.36324857229563
2,100,50.293806612852855,63.36324857229563
2,100,49.48078284459713,63.36324857229563
2,100,49.12413128495732,63.36324857229563
2,100,49.24927667879955,63.36324857229563
2,200,54.099686988466274,63.93045685439879
2,200,52.12919736569062,63.93045685439879
2,200,50.93089142083089,63.93045685439879
2,200,50.75924026986737,63.93045685439879
2,200,50.96805867529535,63.93045685439879
2,600,83.02436172607938,66.45951745593814
2,600,74.75150661540754,66.45951745593814
2,600,67.71854380167923,66.45951745593814
2,600,63.34690870650402,66.45951745593814
2,600,61.07444022878424,66.45951745593814
5,200,75.26463412510884,78.93601563744748
5,200,73.72653855761408,78.93601563744748
5,200,73.88260281901339,78.93601563744748
5,200,74.82827949420714,78.93601563744748
5,200,75.39565576650362,78.93601563744748
5,600,85.96012964462797,80.40232856365488
5,600,85.57164940895973,80.40232856365488
5,600,84.34123631081025,80.40232856365488
5,600,83.62510607614146,80.40232856365488
5,600,83.15172992753777,80.40232856365488
5,700,89.38673147350161,80.2894791188875
5,700,87.72089331820929,80.2894791188875
5,700,86.1084108511607,80.2894791188875
5,700,86.03951306931384,80.2894791188875
5,700,87.1517211274151,80.2894791188875
5,1500,77.213799263707,89.77314824710416
5,1500,77.82647080580048,89.77314824710416
5,1500,78.43778531474074,89.77314824710416
5,1500,79.04605334948567,89.77314824710416
5,1500,79.65984925333184,89.77314824710416
6,0,67.0,67.34245269663083
6,0,67.0,67.34245269663083
6,0,67.0,67.34245269663083
6,0,67.0,67.34245269663083
6,0,67.0,67.34245269663083
6,100,66.11120117222488,66.44342433416628
6,100,66.81072256516411,66.44342433416628
6,100,68.26543295572156,66.44342433416628
6,100,69.73771569752417,66.44342433416628
6,100,70.27026371280434,66.44342433416628
6,500,61.416798267570925,68.3397333084186
6,500,61.77739510546515,68.3397333084186
6,500,63.36668107169014,68.3397333084186
6,500,65.1147949639853,68.3397333084186
6,500,66.49004219130167,68.3397333084186
6,1700,91.78046765880106,67.01009054632978
6,1700,87.44651605164336,67.01009054632978
6,1700,84.71436288934767,67.01009054632978
6,1700,83.64970268810981,67.01009054632978
6,1700,83.50697465211282,67.01009054632978
7,500,71.378026467726,82.07566535524404
7,500,71.2334785570087,82.07566535524404
7,500,72.24021354609238,82.07566535524404
7,500,74.31868821490895,82.07566535524404
7,500,75.35542080164578,82.07566535524404
7,700,78.98542949430869,80.71643771180864
7,700,78.69253560216912,80.71643771180864
7,700,78.72880894941686,80.71643771180864
7,700,78.93748956118827,80.71643771180864
7,700,79.16555458911277,80.71643771180864
7,1000,76.41932940142496,78.50933597026066
7,1000,72.75957942277323,78.50933597026066
7,1000,72.28993154810621,78.50933597026066
7,1000,72.82717683098532,78.50933597026066
7,1000,73.19893735259465,78.50933597026066
7,1600,98.1893932419938,86.64191930893065
7,1600,98.52355857494074,86.64191930893065
7,1600,98.27029331814158,86.64191930893065
7,1600,97.9047952127663,86.64191930893065
7,1600,98.2629217264801,86.64191930893065
8,0,86.0,100.5837105072246
8,0,86.0,100.5837105072246
8,0,86.0,100.5837105072246
8,0,86.0,100.5837105072246
8,0,86.0,100.5837105072246
8,200,81.34862810089474,97.08226213141555
8,200,80.70389406464317,97.08226213141555
8,200,79.51280644755343,97.08226213141555
8,200,79.85707889821106,97.08226213141555
8,200,79.8599178377168,97.08226213141555
8,400,92.09150440333778,97.87844266091402
8,400,92.17456626757912,97.87844266091402
8,400,91.74185599991768,97.87844266091402
8,400,90.77613944191953,97.87844266091402
8,400,89.28966727184527,97.87844266091402
8,700,105.62965368144268,98.22536351800446
8,700,105.08037640776642,98.22536351800446
8,700,105.0556196658642,98.22536351800446
8,700,106.23993953708964,98.22536351800446
8,700,108.22715483558127,98.22536351800446
9,200,78.52755618067384,77.77478700771427
9,200,77.43457648537378,77.77478700771427
9,200,76.90807514242279,77.77478700771427
9,200,77.50577020903172,77.77478700771427
9,200,78.81684311447722,77.77478700771427
9,300,76.6328784712722,77.63611100994599
9,300,76.82045414019314,77.63611100994599
9,300,78.38153466935651,77.63611100994599
9,300,79.87713132590815,77.63611100994599
9,300,80.50325216694324,77.63611100994599
9,1300,67.06223546560709,78.38473413526154
9,1300,67.07542951643725,78.38473413526154
9,1300,67.78068046394365,78.38473413526154
9,1300,68.51722243410168,78.38473413526154
9,1300,68.79163414358575,78.38473413526154
9,1700,107.982620709395,84.7687445429224
9,1700,105.9046617933166,84.7687445429224
9,1700,103.66922181323494,84.7687445429224
9,1700,101.87442913839828,84.7687445429224
9,1700,100.81855130463968,84.7687445429224
10,100,84.90927501901405,91.841604173863
10,100,85.99194501230727,91.841604173863
10,100,86.37630328935978,91.841604173863
10,100,86.95005817299797,91.841604173863
10,100,86.98616187799544,91.841604173863
10,500,86.56106250760874,93.5434025625229
10,500,85.70712051959264,93.5434025625229
10,500,84.72523305488356,93.5434025625229
10,500,84.22493823617053,93.5434025625229
10,500,82.56865916492173,93.5434025625229
10,1100,73.96532795917616,93.82390169867789
10,1100,73.96059486411144,93.82390169867789
10,1100,74.52122068652858,93.82390169867789
10,1100,75.18337259571273,93.82390169867789
10,1100,75.53849358506764,93.82390169867789
10,1400,80.18907003881327,92.44064055950916
10,1400,78.82197418264903,92.44064055950916
10,1400,77.8042782761514,92.44064055950916
10,1400,77.98045958014174,92.44064055950916
10,1400,79.49504786927876,92.44064055950916
11,100,98.33345206083156,95.51809136436185
11,100,97.54655432824966,95.51809136436185
11,100,96.5432822307983,95.51809136436185
11,100,95.60861104050755,95.51809136436185
11,100,94.91063047373964,95.51809136436185
11,300,96.83344869486632,99.64264823763445
11,300,96.01884753013192,99.64264823763445
11,300,95.31565730613032,99.64264823763445
11,300,92.58402771774308,99.64264823763445
11,300,92.1745436547845,99.64264823763445
11,800,94.89856194563694,95.71092192647136
11,800,93.71713650226592,95.71092192647136
11,800,92.80819082528484,95.71092192647136
11,800,92.423030743248,95.71092192647136
11,800,92.17796951200556,95.71092192647136
11,1400,80.88808557677578,96.45184311358241
11,1400,81.71976354173768,96.45184311358241
11,1400,83.93637631610358,96.45184311358241
11,1400,86.55732443828087,96.45184311358241
11,1400,86.24091807379796,96.45184311358241
12,100,93.34330678677662,94.41826541816302
12,100,91.53053933108524,94.41826541816302
12,100,90.67627123269168,94.41826541816302
12,100,91.13171472941642,94.41826541816302
12,100,92.2518087423209,94.41826541816302
12,500,95.40061017441352,92.70413373582105
12,500,93.92796953180218,92.70413373582105
12,500,92.56713441429716,92.70413373582105
12,500,91.29044118453932,92.70413373582105
