escenario,modelo,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std,r_mean,r_std,MAE_ic95,RMSE_ic95,MAPE_ic95,r_ic95
A: Todas las posiciones,Baseline,9.892480156308661,0.37808304065856796,12.893653572196435,0.48587322874181754,11.608453784106846,0.41900172126244867,0.6164031219825528,0.022930600077715902,0.12899898656991476,0.16577615859196423,0.14296012145838868,0.007823742017925198
A: Todas las posiciones,RF,9.506556961338093,0.37652091516269703,12.276308460965708,0.44047189806400083,11.193148522641707,0.43257087802773553,0.6598388116968636,0.0197854070496669,0.12846600152644033,0.1502855784375032,0.1475898119842619,0.0067506266714173
A: Todas las posiciones,SVR,9.51189498993503,0.3717169501982245,12.336248742034584,0.44648073840439007,11.163383446819328,0.4229719695028644,0.6556787775873522,0.02035509960926193,0.12682692612423535,0.15233574792677843,0.1443147392126061,0.006945001332381103
C: Sedentario + sync estricta,Baseline,7.90614606479965,0.3614642852372237,10.012912176621116,0.45299661144118314,9.800550945394013,0.451705688866386,0.7111850594517491,0.02851804793651144,0.12332879675216339,0.1545589130200881,0.15411846029943996,0.00973013567695147
C: Sedentario + sync estricta,RF,7.891427561775453,0.35621800555533234,9.978182803676633,0.44840877237856425,9.783793144641942,0.44625530121043405,0.7130644544578099,0.02835585203899534,0.12153880701592054,0.15299357809103975,0.1522588305133318,0.009674795700926806
C: Sedentario + sync estricta,SVR,7.883446295509237,0.36175528006204427,9.99457107556809,0.45850878951485463,9.812766852683112,0.46330857730582525,0.7124505327715858,0.029251764742334475,0.12342808191828344,0.15643962521510743,0.15807727539827188,0.009980474132269709
