modelo,MAE,RMSE,r,PCT_1.5
RF v3-synced   - Val,13.717955423772558,17.721556221055852,0.19869902355846414,7.616926503340757
SVR v3-synced  - Val,13.906273131332206,18.09055053281831,0.17571344871903918,7.973273942093541
XGB v3-synced  - Val,14.17892518808562,18.227202894930965,0.136001984384874,5.968819599109131
Ens RF+XGB - Val,13.845886730194557,17.871396895951314,0.17166557715957073,7.75055679287305
RF v3-synced   - Test,13.410720681836802,16.906260196346427,0.04622870269127096,7.777777777777778
SVR v3-synced  - Test,13.796265049409241,17.446248939812776,0.03575569503780075,6.752136752136752
XGB v3-synced  - Test,13.983533255771231,17.67470355415466,-0.011718015757343686,6.3247863247863245
Ens RF+XGB - Test,13.613812011767983,17.1864588608669,0.011372798651516417,6.581196581196582
