escenario,corrida,seed,modelo,MAE,RMSE,MAPE,r
A: Todas las posiciones,32,32,RF,9.233914159860044,11.828571521892902,10.832186113320793,0.6645233029963911
A: Todas las posiciones,32,32,SVR,9.229655350247223,11.903515357175626,10.800173659478888,0.6593765596090901
C: Sedentario + sync estricta,0,0,Baseline,8.433141446741585,10.858239047096276,10.081377244141075,0.6876895029617567
C: Sedentario + sync estricta,0,0,RF,8.401322726136081,10.830858625332631,10.046963615795116,0.6895777316553144
C: Sedentario + sync estricta,0,0,SVR,8.342677328449598,10.815083084758394,10.005256705819884,0.6875061450589188
C: Sedentario + sync estricta,1,1,Baseline,7.946494819087767,9.93012887559805,9.802600270987968,0.7095695015565469
C: Sedentario + sync estricta,1,1,RF,7.918305694441485,9.90692080800721,9.767437565954138,0.7106856312296698
C: Sedentario + sync estricta,1,1,SVR,7.940379618732085,9.9545032078308,9.842314947704297,0.7071753743643043
C: Sedentario + sync estricta,2,2,Baseline,7.654183208282761,9.747194618284153,9.571966531585534,0.7186839083134984
C: Sedentario + sync estricta,2,2,RF,7.7075586404040894,9.755243606620418,9.644539987517446,0.7175478681227083
C: Sedentario + sync estricta,2,2,SVR,7.688932736198389,9.797284963378202,9.653230430425506,0.7154269052615593
C: Sedentario + sync estricta,3,3,Baseline,8.07831174647424,10.19149628062727,9.72140102301139,0.7331060910259765
C: Sedentario + sync estricta,3,3,RF,8.067996260967764,10.148529330175023,9.699446455513066,0.7361545385559158
C: Sedentario + sync estricta,3,3,SVR,8.034569750386689,10.123443960130373,9.706098408808922,0.7351605120622742
C: Sedentario + sync estricta,4,4,Baseline,8.057595052475692,10.196091853286662,9.98980813033749,0.700610194298503
C: Sedentario + sync estricta,4,4,RF,8.017384141736636,10.151353764916047,9.938667656498456,0.7036697392833078
C: Sedentario + sync estricta,4,4,SVR,8.002117676800218,10.154362924267955,9.959975369267806,0.7041655624154829
C: Sedentario + sync estricta,5,5,Baseline,7.8461968904134745,10.076149808803903,9.336188521592884,0.7422721611712996
C: Sedentario + sync estricta,5,5,RF,7.863703066986053,10.048790137622408,9.3813729642115,0.7430924010714768
C: Sedentario + sync estricta,5,5,SVR,7.793384684756569,9.98409230967124,9.307749504438497,0.7454072253671195
C: Sedentario + sync estricta,6,6,Baseline,8.055723697721536,10.3680773990568,10.388294755840796,0.7100692528405148
C: Sedentario + sync estricta,6,6,RF,8.022898333295375,10.319791712837535,10.351342447518292,0.7126895155813118
C: Sedentario + sync estricta,6,6,SVR,8.081818317473303,10.41342628923847,10.448858770131734,0.7086669761237703
C: Sedentario + sync estricta,7,7,Baseline,8.02488142785529,10.036475624410823,10.149815370941031,0.7087790821636997
C: Sedentario + sync estricta,7,7,RF,8.045512953122987,10.043866990400668,10.179987813028395,0.7081160781902525
C: Sedentario + sync estricta,7,7,SVR,8.03350774051582,10.062311571108424,10.212947134717561,0.7095674833893175
C: Sedentario + sync estricta,8,8,Baseline,7.735822272109851,9.597086009925981,9.613198361587564,0.7349099226916567
C: Sedentario + sync estricta,8,8,RF,7.706363855685422,9.531383971185694,9.583987755676572,0.7388459155866223
C: Sedentario + sync estricta,8,8,SVR,7.7035143822173975,9.536554709169854,9.628313630753924,0.7389131837545854
C: Sedentario + sync estricta,9,9,Baseline,7.758437876105481,9.956250380173003,9.638236472169424,0.7223550573227818
C: Sedentario + sync estricta,9,9,RF,7.752813082940489,9.897661217239659,9.636184235644395,0.7256774683256495
C: Sedentario + sync estricta,9,9,SVR,7.762024063675243,9.90792158937477,9.671799390966958,0.724949496387274
C: Sedentario + sync estricta,10,10,Baseline,7.636318536796746,9.704975269769427,9.51011950847385,0.7140492830430015
C: Sedentario + sync estricta,10,10,RF,7.622824779567809,9.689498937532937,9.500050719247206,0.7147228929793403
C: Sedentario + sync estricta,10,10,SVR,7.634535148886556,9.743145208840003,9.556471471266818,0.7122705043504564
C: Sedentario + sync estricta,11,11,Baseline,7.444254339892138,9.291494147047578,9.304622542522537,0.7760298063974017
C: Sedentario + sync estricta,11,11,RF,7.437423975759526,9.26736243600168,9.288752551091365,0.7776793649269743
C: Sedentario + sync estricta,11,11,SVR,7.39141523170964,9.242220800715272,9.280511969901267,0.7796606298021709
C: Sedentario + sync estricta,12,12,Baseline,7.755911458548255,9.621400150051588,9.62156996857145,0.7465477862315308
C: Sedentario + sync estricta,12,12,RF,7.755718905256468,9.567185915099433,9.631244408797043,0.7497477508662641
C: Sedentario + sync estricta,12,12,SVR,7.70863315447542,9.568785834797449,9.61525386803733,0.7494883352957811
