escenario,corrida,seed,MAE,RMSE,MAPE,r
E: LSTM,23,23,7.670436028469435,9.563724043278132,9.856090472556943,0.7372273381544265
B: Solo sedentarias,24,24,8.435686333155996,10.49183516419607,10.60553900306972,0.6589679835750736
D: RF + Optuna,24,24,8.40109130411226,10.474751523615152,10.561419868240291,0.660377059122823
D: XGBoost + Optuna,24,24,8.4289973902102,10.502743052388299,10.599792602075832,0.6586403919985058
D: LightGBM + Optuna,24,24,8.422657398080311,10.495935322285384,10.594997755651892,0.659262788630715
E: LSTM,24,24,8.424694046391794,10.72762658153824,10.665717026135809,0.6514061839188656
B: Solo sedentarias,25,25,7.784485189983254,9.704302329286188,9.882229407966586,0.6935966715056716
D: RF + Optuna,25,25,7.763566903448236,9.701292743424954,9.854124895280018,0.6941494275576481
D: XGBoost + Optuna,25,25,7.769137849513555,9.70746375809136,9.86073211554296,0.693589279842337
D: LightGBM + Optuna,25,25,7.7547598045269766,9.699063197621465,9.843765697459702,0.6941296642457134
E: LSTM,25,25,7.805891625636103,10.006137894714794,10.050195139974827,0.6941154496648365
B: Solo sedentarias,26,26,7.790282335004273,9.777588899526583,9.621844864853882,0.7268498813574892
D: RF + Optuna,26,26,7.79174891583642,9.788302787887526,9.62157250059726,0.7263165663590763
D: XGBoost + Optuna,26,26,7.786412317249828,9.770362048556482,9.61915624073876,0.7274106566150059
D: LightGBM + Optuna,26,26,7.773561392134636,9.764269494701487,9.602579862416624,0.7279495147993763
E: LSTM,26,26,7.988719398665696,10.068335290660023,10.082194619630531,0.720575665672212
B: Solo sedentarias,27,27,7.493448074428693,9.779790257789482,9.206044409049898,0.6972369800891103
D: RF + Optuna,27,27,7.496790754630713,9.788672964390729,9.216414766448906,0.6963708796557188
D: XGBoost + Optuna,27,27,7.493329161402222,9.786793904583803,9.210742248644458,0.6966025659467885
D: LightGBM + Optuna,27,27,7.495665377236904,9.786326553068259,9.214678767210906,0.696885086986101
E: LSTM,27,27,7.423547338651797,9.90293140280412,9.263415789406585,0.6931399095110773
B: Solo sedentarias,28,28,7.7453444891853085,9.83183662517912,9.583468952356677,0.7136999890628444
D: RF + Optuna,28,28,7.723655760561315,9.812413627507832,9.560245505629975,0.7150932281202793
D: XGBoost + Optuna,28,28,7.744673388287774,9.843370197886355,9.584459813081455,0.713038102831461
D: LightGBM + Optuna,28,28,7.720345230204443,9.817308462851356,9.555709081372317,0.7146714137015284
E: LSTM,28,28,7.676399020663423,9.807002894263148,9.556414197739763,0.7264620576731105
B: Solo sedentarias,29,29,8.109807448094768,10.181014576900195,10.177872290659518,0.7041630275736792
D: RF + Optuna,29,29,8.079545674479832,10.141724868091906,10.14204919671257,0.7069775623650472
D: XGBoost + Optuna,29,29,8.11301868474833,10.189515980151482,10.177810500282794,0.7036529956533455
D: LightGBM + Optuna,29,29,8.102127477217413,10.17923920546022,10.163459430516292,0.7044994395451095
E: LSTM,29,29,8.243964218739611,10.394372027074793,10.412012742755284,0.7049036895410306
B: Solo sedentarias,30,30,8.145641858319935,10.081938039303493,10.144800814396737,0.7237255121147683
D: RF + Optuna,30,30,8.138647284435004,10.086141952336945,10.12836084801737,0.723510197869812
D: XGBoost + Optuna,30,30,8.145608632715463,10.09786140405318,10.139404029660096,0.7227293553218237
D: LightGBM + Optuna,30,30,8.126609348758473,10.074175313466856,10.107484331524695,0.7242832955519212
E: LSTM,30,30,8.148740255090084,10.273471663048033,10.215324282908842,0.7132956749524018
B: Solo sedentarias,31,31,7.591033316413419,9.769735769501985,9.701075133396973,0.704188147580334
D: RF + Optuna,31,31,7.5920471045173095,9.773596863512623,9.698019719575184,0.7040957051760272
D: XGBoost + Optuna,31,31,7.5916542121514325,9.78707241338848,9.695061032177383,0.703071458973261
D: LightGBM + Optuna,31,31,7.580070813818356,9.775170440193374,9.679054252331735,0.7040919935524472
E: LSTM,31,31,7.8213698956627375,10.138822595184047,10.05975095825483,0.6883511527799566
B: Solo sedentarias,32,32,7.591272266278863,9.481426679480052,9.457593901292585,0.7264167774689979
D: RF + Optuna,32,32,7.6249248633985784,9.496578902348174,9.503932157433407,0.725422247639367
D: XGBoost + Optuna,32,32,7.607433549683714,9.501568425074494,9.483005349887177,0.7251435732174718
D: LightGBM + Optuna,32,32,7.595131803587556,9.492109816747112,9.465417688975451,0.7259185716496674
E: LSTM,32,32,7.556139539338853,9.61220030262147,9.502437150200597,0.7294516242553173
