etapa,MAE,RMSE,r
RF + suavizado w=9 (MODELO FINAL),8.784138042283647,11.20610978213561,0.714496451670432
RF tuneado (top-15 PermImp),8.854360566908168,11.277155957987068,0.7101299740294691
Baseline (promedio persona),9.327603804687781,,
